Mon-Sun 11:30 am - 9 pm,Kushi Tsuru
"Mon-Thu, Sun 11:30 am - 9 pm  / Fri-Sat 11:30 am - 9:30 pm",Osakaya Restaurant
"Mon-Thu, Sun 11:30 am - 10 pm  / Fri-Sat 11:30 am - 11 pm",The Stinking Rose
"Mon-Thu, Sun 11:30 am - 10 pm  / Fri-Sat 11:30 am - 11 pm",McCormick & Kuleto's
Mon-Sun 11 am - 10 pm,Mifune Restaurant
Mon-Thu 11 am - 11 pm  / Fri-Sat 11 am - 12:30 am  / Sun 10 am - 11 pm,The Cheesecake Factory
Mon-Sat 11:30 am - 10 pm  / Sun 5:30 pm - 10 pm,New Delhi Indian Restaurant
"Mon-Thu, Sun 11:30 am - 9:30 pm  / Fri-Sat 11:30 am - 10 pm",Iroha Restaurant
Mon-Thu 11:30 am - 10 pm  / Fri-Sun 11:30 am - 11 pm,Rose Pistola
Mon-Sun 11 am - 11 pm,Alioto's Restaurant
Mon-Fri 10:30 am - 9:30 pm  / Sat-Sun 10 am - 9:30 pm,Canton Seafood & Dim Sum Restaurant
Mon-Fri 10 am - 9:30 pm  / Sat-Sun 9:30 am - 9:30 pm,All Season Restaurant
Mon-Sun 11:30 am - 10:30 pm,Bombay Indian Restaurant
Mon-Fri 11 am - 9 pm  / Sat 5 pm - 9 pm,Sam's Grill & Seafood Restaurant
"Mon-Thu, Sun 11 am - 10 pm  / Fri-Sat 11 am - 11 pm",2G Japanese Brasserie
"Mon-Thu, Sun 11:30 am - 9 pm  / Fri-Sat 11:30 am - 10 pm",Restaurant Lulu
Mon-Wed 5 pm - 12:30 am  / Thu-Fri 5 pm - 1:30 am  / Sat 3 pm - 1:30 am  / Sun 3 pm - 11:30 pm,Sudachi
Mon-Sun 11 am - 12 am,Hanuri
"Mon-Thu, Sun 9 am - 10 pm  / Fri-Sat 9 am - 11 pm",Herbivore
Mon-Thu 11 am - 10 pm  / Fri-Sat 10 am - 10:30 pm  / Sun 11 am - 11 pm,Penang Garden
Mon-Sat 11 am - 10 pm  / Sun 12 pm - 10 pm,John's Grill
Mon-Sun 11 am - 10 pm,Quan Bac
Mon-Sat 11 am - 12 am  / Sun 12 pm - 12 am,Bamboo Restaurant
"Mon-Thu, Sun 11 am - 10 pm  / Fri-Sat 11 am - 12 am",Burger Bar
Mon-Fri 11:30 am - 10 pm  / Sat-Sun 7 am - 3 pm,Blu Restaurant
Mon-Sun 11 am - 4 am,Naan 'N' Curry
Mon-Sun 11 am - 9:30 pm,Shanghai China Restaurant
"Mon-Thu, Sun 11:30 am - 10 pm  / Fri-Sat 11:30 am - 11 pm",Tres
Mon-Sun 11:30 am - 9:30 pm,Isobune Sushi
Mon-Sun 11 am - 12 am,Viva Pizza Restaurant
Mon-Sun 11:30 am - 10 pm,Far East Cafe
Mon-Sun 11:30 am - 10 pm,Parallel 37
Mon-Sat 11 am - 11 pm  / Sun 11 am - 10 pm,Bai Thong Thai Cuisine
Mon-Sun 11 am - 11 pm,Alhamra
"Mon, Wed-Sun 11 am - 10 pm",A-1 Cafe Restaurant
Mon-Sun 11 am - 10:30 pm,Nick's Lighthouse
Mon-Fri 11:30 am - 10 pm  / Sat 5:30 pm - 10 pm,Paragon Restaurant & Bar
Mon-Fri 11 am - 10 pm  / Sat-Sun 5 pm - 10 pm,Chili Lemon Garlic
Mon-Sun 11 am - 10:30 pm,Bow Hon Restaurant
Mon-Sun 11 am - 11 pm,San Dong House
Mon-Sun 11 am - 1 am,Thai Stick Restaurant
"Mon-Thu, Sun 11:30 am - 10 pm  / Fri-Sat 11:30 am - 10:30 pm",Cesario's
Mon-Fri 12 pm - 10 pm  / Sat-Sun 5 pm - 10 pm,Colombini Italian Cafe Bistro
"Mon-Thu, Sun 10 am - 10:30 pm  / Fri-Sat 10 am - 12:30 am",Sabella & La Torre
Mon-Fri 11:30 am - 10 pm  / Sat 5 pm - 10 pm,Soluna Cafe and Lounge
Mon-Fri 9 am - 9:30 pm  / Sat-Sun 9 am - 10 pm,Tong Palace
Mon-Sun 10 am - 11 pm,India Garden Restaurant
Mon-Sat 11 am - 11 pm  / Sun 11 am - 10:30 pm,Sapporo-Ya Japanese Restaurant
Mon-Sun 8 am - 10:30 pm,Santorini's Mediterranean Cuisine
Mon-Thu 11 am - 10:30 pm  / Fri 11 am - 11 pm  / Sat 11:30 am - 11 pm  / Sun 4:30 pm - 10:30 pm,Kyoto Sushi
Mon-Sun 5:30 pm - 2 am,Marrakech Moroccan Restaurant
